VEHTYPE,ROAD_CLASS,LOCCOORD,DISTRICT,TRAFFCTL,LIGHT,RDSFCOND,INVTYPE,IMPACTYPE,INVAGE,YEAR,TIME,LATITUDE,LONGITUDE,MONTH,DAY,PEDESTRIAN,CYCLIST,AUTOMOBILE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,ACCLASS
Other,Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,50 to 54,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,15 to 19,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Other,Local,Mid-Block,Etobicoke York,No Control,Dusk,Dry,Passenger,Other,15 to 19,2006,21,43.667245,-79.54469,6,6,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Driver,Approaching,55 to 59,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,20 to 24,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Stop Sign,Daylight,Dry,Vehicle Owner,Cyclist Collisions,unknown,2006,10,43.744045,-79.28349,6,2,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,15 to 19,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Stop Sign,Daylight,Dry,Driver,Cyclist Collisions,45 to 49,2006,10,43.744045,-79.28349,6,2,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,20 to 24,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Bicycle,Major Arterial,Intersection,Scarborough,Stop Sign,Daylight,Dry,Cyclist,Cyclist Collisions,30 to 34,2006,10,43.744045,-79.28349,6,2,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Vehicle Owner,Approaching,unknown,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,35 to 39,2006,14,43.648545,-79.38089,6,2,1,0,0,0,1,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Driver,Approaching,25 to 29,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
