ROAD_CLASS,ACCNUM,new
Major Arterial,9085345312,Major Arterial
Major Arterial,9085345312,Major Arterial
Major Arterial,9085345312,Major Arterial
Major Arterial,9085345312,Major Arterial
Major Arterial,9002501134,Major Arterial
Major Arterial,9002501134,Major Arterial
Major Arterial,9002501134,Major Arterial
Major Arterial,9002500260,Major Arterial
Major Arterial,9002500260,Major Arterial
Major Arterial,9002500260,Major Arterial
Major Arterial,9002500056,Major Arterial
Major Arterial,9002500056,Major Arterial
Major Arterial,9002497348,Major Arterial
Major Arterial,9002497348,Major Arterial
Major Arterial,9002496688,Major Arterial
Major Arterial,9002496688,Major Arterial
Major Arterial,9002484268,Major Arterial
Major Arterial,9002484268,Major Arterial
Major Arterial,9002484268,Major Arterial
Major Arterial,9002484268,Major Arterial
Major Arterial,9002484268,Major Arterial
Major Arterial,9002484268,Major Arterial
Major Arterial,9002484268,Major Arterial
Major Arterial,9002484268,Major Arterial
Major Arterial,9002481518,Major Arterial
Major Arterial,9002481518,Major Arterial
Minor Arterial,9002471073,Minor Arterial
Minor Arterial,9002471073,Minor Arterial
Minor Arterial,9002471073,Minor Arterial
Minor Arterial,9002468442,Minor Arterial
Minor Arterial,9002468442,Minor Arterial
Major Arterial,9002465950,Major Arterial
Major Arterial,9002465950,Major Arterial
Major Arterial,9002465950,Major Arterial
Major Arterial,9002465950,Major Arterial
Major Arterial,9002463440,Major Arterial
Major Arterial,9002463440,Major Arterial
Major Arterial,9002450194,Major Arterial
Major Arterial,9002450194,Major Arterial
Major Arterial,9002450194,Major Arterial
Major Arterial,9002450194,Major Arterial
Major Arterial,9002450194,Major Arterial
Major Arterial,9002450194,Major Arterial
Local,9002439136,Local
Collector,9002437548,Collector
Collector,9002437548,Collector
Major Arterial,9002423251,Major Arterial
Major Arterial,9002423251,Major Arterial
Major Arterial,9002423251,Major Arterial
Major Arterial,9002413473,Major Arterial
Major Arterial,9002413473,Major Arterial
Major Arterial,9002413473,Major Arterial
Major Arterial,9002413050,Major Arterial
Major Arterial,9002413050,Major Arterial
Collector,9002410938,Collector
Collector,9002410938,Collector
Major Arterial,9002410570,Major Arterial
Major Arterial,9002410570,Major Arterial
Major Arterial,9002407490,Major Arterial
Major Arterial,9002407490,Major Arterial
Major Arterial,9002404959,Major Arterial
Major Arterial,9002404959,Major Arterial
Major Arterial,9002403770,Major Arterial
Major Arterial,9002403770,Major Arterial
Major Arterial,9002389784,Major Arterial
Major Arterial,9002389784,Major Arterial
Major Arterial,9002389784,Major Arterial
Major Arterial,9002389784,Major Arterial
Major Arterial,9002389266,Major Arterial
Major Arterial,9002389266,Major Arterial
Major Arterial,9002380779,Major Arterial
Major Arterial,9002380779,Major Arterial
Major Arterial,9002380779,Major Arterial
Major Arterial,9002374451,Major Arterial
Major Arterial,9002374451,Major Arterial
Major Arterial,9002374451,Major Arterial
Major Arterial,9002374451,Major Arterial
Major Arterial,9002365700,Major Arterial
Major Arterial,9002365700,Major Arterial
Major Arterial,9002365700,Major Arterial
Major Arterial,9002354867,Major Arterial
Major Arterial,9002354867,Major Arterial
Major Arterial,9002354607,Major Arterial
Major Arterial,9002354607,Major Arterial
Major Arterial,9002330341,Major Arterial
Major Arterial,9002330341,Major Arterial
Major Arterial,9002320157,Major Arterial
Major Arterial,9002320157,Major Arterial
Major Arterial,9002320157,Major Arterial
Major Arterial,9002320157,Major Arterial
Major Arterial,9002320157,Major Arterial
Major Arterial,9002320157,Major Arterial
Major Arterial,9002320157,Major Arterial
Major Arterial,9002320157,Major Arterial
Major Arterial,9002297507,Major Arterial
Major Arterial,9002297507,Major Arterial
Major Arterial,9002294353,Major Arterial
Major Arterial,9002294353,Major Arterial
Minor Arterial,9002276399,Minor Arterial
Minor Arterial,9002276399,Minor Arterial
Major Arterial,9002274826,Major Arterial
Major Arterial,9002274826,Major Arterial
Major Arterial,9002274826,Major Arterial
Major Arterial,9002274826,Major Arterial
Major Arterial,9002274826,Major Arterial
Major Arterial,9002266612,Major Arterial
Major Arterial,9002266612,Major Arterial
Major Arterial,9002263717,Major Arterial
Major Arterial,9002263717,Major Arterial
Major Arterial,9002262489,Major Arterial
Major Arterial,9002262489,Major Arterial
Major Arterial,9002262069,Major Arterial
Major Arterial,9002262069,Major Arterial
Major Arterial,9002262069,Major Arterial
Major Arterial,9002258968,Major Arterial
Major Arterial,9002258968,Major Arterial
Minor Arterial,9002258373,Minor Arterial
Minor Arterial,9002258373,Minor Arterial
Major Arterial,9002255296,Major Arterial
Major Arterial,9002255296,Major Arterial
Major Arterial,9002250023,Major Arterial
Major Arterial,9002250023,Major Arterial
Major Arterial,9002248311,Major Arterial
Major Arterial,9002248311,Major Arterial
Major Arterial,9002239655,Major Arterial
Major Arterial,9002239655,Major Arterial
Major Arterial,9002229546,Major Arterial
Major Arterial,9002229546,Major Arterial
Major Arterial,9002229546,Major Arterial
Major Arterial,9002229546,Major Arterial
Major Arterial,9002229546,Major Arterial
Major Arterial,9002221424,Major Arterial
Major Arterial,9002221424,Major Arterial
Major Arterial,9002192530,Major Arterial
Major Arterial,9002192530,Major Arterial
Major Arterial,9002192000,Major Arterial
Major Arterial,9002192000,Major Arterial
Minor Arterial,9002173783,Minor Arterial
Minor Arterial,9002173783,Minor Arterial
Minor Arterial,9002173783,Minor Arterial
Minor Arterial,9002173783,Minor Arterial
Minor Arterial,9002173783,Minor Arterial
Major Arterial,9002157584,Major Arterial
Major Arterial,9002157584,Major Arterial
Major Arterial,9002157584,Major Arterial
Major Arterial,9002157584,Major Arterial
Major Arterial,9002157584,Major Arterial
Major Arterial,9002151002,Major Arterial
Major Arterial,9002151002,Major Arterial
Minor Arterial,9002147665,Minor Arterial
Minor Arterial,9002147665,Minor Arterial
Collector,9002133907,Collector
Collector,9002133907,Collector
Major Arterial,9002123332,Major Arterial
Major Arterial,9002123332,Major Arterial
Major Arterial,9002117462,Major Arterial
Major Arterial,9002117462,Major Arterial
Minor Arterial,9002113660,Minor Arterial
Minor Arterial,9002113660,Minor Arterial
Minor Arterial,9002113660,Minor Arterial
Minor Arterial,9002113660,Minor Arterial
Minor Arterial,9002113038,Minor Arterial
Minor Arterial,9002113038,Minor Arterial
Collector,9002099223,Collector
Collector,9002099223,Collector
Major Arterial,9002099158,Major Arterial
Major Arterial,9002099158,Major Arterial
Major Arterial,9002099158,Major Arterial
Major Arterial,9002093475,Major Arterial
Major Arterial,9002093475,Major Arterial
Major Arterial,9002086969,Major Arterial
Major Arterial,9002086969,Major Arterial
Major Arterial,9002080634,Major Arterial
Major Arterial,9002080634,Major Arterial
Major Arterial,9002080634,Major Arterial
Major Arterial,9002079433,Major Arterial
Major Arterial,9002079433,Major Arterial
Major Arterial,9002076820,Major Arterial
Major Arterial,9002076820,Major Arterial
Minor Arterial,9002072728,Minor Arterial
Minor Arterial,9002072728,Minor Arterial
Local,9002072643,Local
Major Arterial,9002067554,Major Arterial
Major Arterial,9002067554,Major Arterial
Major Arterial,9002067554,Major Arterial
Minor Arterial,9002063791,Minor Arterial
Minor Arterial,9002063791,Minor Arterial
Major Arterial,9002056879,Major Arterial
Major Arterial,9002056879,Major Arterial
Major Arterial,9002052338,Major Arterial
Major Arterial,9002052338,Major Arterial
Major Arterial,9002052338,Major Arterial
Major Arterial,9002052338,Major Arterial
Major Arterial,9002039731,Major Arterial
Major Arterial,9002039731,Major Arterial
Collector,9002016124,Collector
Collector,9002016124,Collector
Collector,9002016124,Collector
Collector,9002016124,Collector
Major Arterial,9002000570,Major Arterial
Major Arterial,9002000570,Major Arterial
Minor Arterial,9001993381,Minor Arterial
Minor Arterial,9001993381,Minor Arterial
Major Arterial,9001991874,Major Arterial
Major Arterial,9001991874,Major Arterial
Major Arterial,9001991012,Major Arterial
Major Arterial,9001991012,Major Arterial
Collector,9001987144,Collector
Collector,9001987144,Collector
Collector,9001987144,Collector
Collector,9001987144,Collector
Major Arterial,9001987118,Major Arterial
Major Arterial,9001987118,Major Arterial
Major Arterial,9001987118,Major Arterial
Major Arterial,9001987118,Major Arterial
Major Arterial,9001976844,Major Arterial
Major Arterial,9001976844,Major Arterial
Major Arterial,9001976844,Major Arterial
Major Arterial,9001976844,Major Arterial
Major Arterial,9001976844,Major Arterial
Minor Arterial,9001971045,Minor Arterial
Minor Arterial,9001971045,Minor Arterial
Major Arterial,9001966767,Major Arterial
Major Arterial,9001966767,Major Arterial
Major Arterial,9001965744,Major Arterial
Major Arterial,9001965744,Major Arterial
Major Arterial,9001964458,Major Arterial
Major Arterial,9001964458,Major Arterial
Major Arterial,9001964458,Major Arterial
Major Arterial,9001964458,Major Arterial
Local,9001963574,Local
Local,9001963574,Local
Major Arterial,9001960766,Major Arterial
Major Arterial,9001960766,Major Arterial
Major Arterial,9001959528,Major Arterial
Major Arterial,9001959528,Major Arterial
Major Arterial,9001959130,Major Arterial
Major Arterial,9001959130,Major Arterial
Minor Arterial,9001957432,Minor Arterial
Minor Arterial,9001957432,Minor Arterial
Collector,9001955336,Collector
Collector,9001955336,Collector
Major Arterial,9001949959,Major Arterial
Major Arterial,9001949959,Major Arterial
Major Arterial,9001943397,Major Arterial
Major Arterial,9001943397,Major Arterial
Minor Arterial,9001921394,Minor Arterial
Minor Arterial,9001921394,Minor Arterial
Major Arterial,9001916632,Major Arterial
Major Arterial,9001916632,Major Arterial
Major Arterial,9001911446,Major Arterial
Major Arterial,9001911446,Major Arterial
Major Arterial,9001878764,Major Arterial
Major Arterial,9001878764,Major Arterial
Major Arterial,9001872287,Major Arterial
Major Arterial,9001872287,Major Arterial
Major Arterial,9001872287,Major Arterial
Major Arterial,9001872287,Major Arterial
Major Arterial,9001872287,Major Arterial
Major Arterial,9001868191,Major Arterial
Major Arterial,9001868191,Major Arterial
Major Arterial,9001855890,Major Arterial
Major Arterial,9001855890,Major Arterial
Major Arterial,9001855890,Major Arterial
Collector,9001853726,Collector
Collector,9001853726,Collector
Collector,9001853726,Collector
Major Arterial,9001843126,Major Arterial
Major Arterial,9001843126,Major Arterial
Major Arterial,9001837052,Major Arterial
Major Arterial,9001837052,Major Arterial
Minor Arterial,9001835582,Minor Arterial
Minor Arterial,9001835582,Minor Arterial
Major Arterial,9001821850,Major Arterial
Major Arterial,9001821850,Major Arterial
Major Arterial,9001818682,Major Arterial
Major Arterial,9001818682,Major Arterial
Major Arterial,9001790358,Major Arterial
Major Arterial,9001790358,Major Arterial
Collector,9001788987,Collector
Collector,9001788987,Collector
Major Arterial,9001778423,Major Arterial
Major Arterial,9001778423,Major Arterial
Major Arterial,9001776305,Major Arterial
Major Arterial,9001776305,Major Arterial
Major Arterial,9001771919,Major Arterial
Major Arterial,9001771919,Major Arterial
Minor Arterial,9001763544,Minor Arterial
Minor Arterial,9001763544,Minor Arterial
Expressway,9001762726,Expressway
Expressway,9001762726,Expressway
Expressway,9001762726,Expressway
Expressway,9001759607,Expressway
Expressway,9001759607,Expressway
Major Arterial,9001753960,Major Arterial
Major Arterial,9001753960,Major Arterial
Major Arterial,9001749979,Major Arterial
Major Arterial,9001749979,Major Arterial
Major Arterial,9001749979,Major Arterial
Major Arterial,9001746758,Major Arterial
Major Arterial,9001746758,Major Arterial
Major Arterial,9001734593,Major Arterial
Major Arterial,9001734593,Major Arterial
Collector,9001733746,Collector
Collector,9001733746,Collector
Major Arterial,9001731704,Major Arterial
Major Arterial,9001731704,Major Arterial
Major Arterial,9001729898,Major Arterial
Major Arterial,9001729898,Major Arterial
Major Arterial,9001722454,Major Arterial
Major Arterial,9001722454,Major Arterial
Major Arterial,9001722454,Major Arterial
Major Arterial,9001722454,Major Arterial
Major Arterial,9001722454,Major Arterial
Major Arterial,9001722454,Major Arterial
Major Arterial,9001718859,Major Arterial
Major Arterial,9001718859,Major Arterial
Local,9001714515,Local
Local,9001714515,Local
Major Arterial,9001711653,Major Arterial
Major Arterial,9001711653,Major Arterial
Major Arterial,9001709057,Major Arterial
Major Arterial,9001709057,Major Arterial
Major Arterial,9001708503,Major Arterial
Major Arterial,9001708503,Major Arterial
