VEHTYPE,ACCNUM
Other,893184
Other,893184
Other,913296
"Automobile, Station Wagon",893184
"Automobile, Station Wagon",893184
Other,911336
"Automobile, Station Wagon",893184
"Automobile, Station Wagon",911336
"Automobile, Station Wagon",893184
Bicycle,911336
"Automobile, Station Wagon",893184
Other,915319
"Automobile, Station Wagon",893184
"Automobile, Station Wagon",920927
"Automobile, Station Wagon",918360
Other,915319
Municipal Transit Bus (TTC),915319
Other,915300
Truck - Open,915300
Other,915300
Other,915300
"Automobile, Station Wagon",915300
"Automobile, Station Wagon",892658
Other,911521
"Automobile, Station Wagon",911521
Bicycle,911521
Other,911540
Other,911540
Other,911540
Other,911540
"Automobile, Station Wagon",911540
Other,915777
Other,897313
"Automobile, Station Wagon",915777
"Automobile, Station Wagon",915777
Other,919331
"Automobile, Station Wagon",919331
Other,919331
Other,911913
Truck - Open,911913
Other,911913
"Automobile, Station Wagon",911913
"Automobile, Station Wagon",911915
Other,911915
"Automobile, Station Wagon",916243
"Automobile, Station Wagon",890013
"Automobile, Station Wagon",916243
Other,916243
Motorcycle,916168
Other,916168
"Automobile, Station Wagon",916168
Other,912714
Other,906553
"Automobile, Station Wagon",901141
"Automobile, Station Wagon",912714
Other,912714
"Automobile, Station Wagon",912714
Other,916566
Municipal Transit Bus (TTC),916566
Other,916566
"Automobile, Station Wagon",912782
Other,912782
Other,912782
Other,912782
Other,912782
Other,924979
"Automobile, Station Wagon",912782
"Automobile, Station Wagon",912859
Other,912859
Other,912859
Other,912859
"Automobile, Station Wagon",912859
Other,917569
"Automobile, Station Wagon",917569
Other,917569
"Automobile, Station Wagon",917569
Other,917526
"Automobile, Station Wagon",917526
Other,917526
Other,917526
"Automobile, Station Wagon",917526
"Automobile, Station Wagon",913040
Other,913040
Other,917567
Other,917567
"Automobile, Station Wagon",917568
Bicycle,917568
Other,917719
Motorcycle,917719
"Automobile, Station Wagon",917731
Other,917731
"Automobile, Station Wagon",917847
Bicycle,917847
Other,917855
Municipal Transit Bus (TTC),917855
Other,917855
Other,918102
"Automobile, Station Wagon",918102
